ad,domain,email,telefon,sehir,kaynak
2H Gümrük ve Lojistik Hizmetleri Tic. Ltd. Şti.,2hgumrukleme.com.tr,,0216 305 23 25,İSTANBUL,UTIKAD
3 E Nakliye ve Lojistik A.Ş.,3edisticaret.com,defaultpk@3enakliyevelojistikas.com.tr,0216 464 79 12 -13,İSTANBUL,UTIKAD
3K Lojistik Hizmetleri Tic. Ltd. Şti.,3klogistics.com,info@3klogistics.com,0212 212 00 29,İSTANBUL,UTIKAD
9 Ekim Gümrük Müşavirliği Lojistik Dan.Yayıncılık Turizm ve Dış Ticaret Ltd. Şti.,9ekim.com,9ekim@9ekim.com,0212 444 12 37,İSTANBUL,UTIKAD
A. Hartrodt Turkey Lojistik Ltd. Şti.,hartrodt.com,info.ist@hartrodt.com,0216 546 04 44,İSTANBUL,UTIKAD
A. Rıza Kınay Vapur Acenteliği ve Tic. A.Ş.,kinay.com,ktl.muhasebe@kinay.com,0212 355 06 00,İSTANBUL,UTIKAD
AB Gümrük Müşavirliği ve Danışmanlık A.Ş.,abgumruk.com.tr,ozcancakar@abgumruk.com.tr  info@abgumruk.com.tr,0216 6803690,İSTANBUL,UTIKAD
Access World Turkey Lojistik Depolama A.Ş.,accessworld.com,employess_TR@accessworld.com,0216 693 13 80,İSTANBUL,UTIKAD
ACTO Ulus. Taş. Gıda San. ve Dış Tic. Ltd. Şti.,actogroup.com,info@actogroup.com,0212 853 00 45,İSTANBUL,UTIKAD
Ada Global Lojistik Sanayi ve Ticaret Ltd. Şti.,adagloballogistics.com.tr,umut.ozcimen@adagloballogistics.com.tr,0232 700 22 37,İZMİR,UTIKAD
Afro Türk Logistics Nak. Tur ve Dış Tic. Ltd. Şti.,afroturklogistics.com,info@afroturklogistics.com,0212 243 79 70,İSTANBUL,UTIKAD
Agemar Global Loj. Deniz. Turz. Paz. ve Tic. A.Ş.,agl-agemar.com,info@agl-agemar.com,0212 347 70 71,İSTANBUL,UTIKAD
Agi Lojistik A.Ş.,agi-logistics.com,hakand@agi-logistics.com,,İSTANBUL,UTIKAD
Agila Lojistik A.Ş.,agilalogistics.com,operation@agilalogistics.com,0216 766 42 14,İSTANBUL,UTIKAD
AIT Worldwide Logistics Transport Ltd. Şti.,aitworldwide.com,turkey@aitworldwide.com,0212 812 99 00,İSTANBUL,UTIKAD
Airon Taşımacılık ve Lojistik A.Ş.,airon.com.tr,info@basaklog.com,0216 365 07 70,İSTANBUL,UTIKAD
Akca Lojistik Hizmetleri ve Ticaret A.Ş.,akcalojistik.com,info@akcalojistik.com,0216 312 22 33,İSTANBUL,UTIKAD
Akça Nak. İnş. Tekstil Petrol Paz. Gıda San. ve Ltd. Şti.,akcanakliyat.com,akca@akcanakliyat.com,0324 237 24 42,MARDİN,UTIKAD
Akdoğu Nakliyat İnşaat San. ve Tic. Ltd. Şti.,akdogulojistik.com,info@akdogulojistik.com,0324  238 00 20,MERSİN,UTIKAD
Aker Lojistik Ulus. Nak. San. Dış Tic. Ltd. Şti.,akergumruk.com,muhasebe@akergumruk.com,0212 325 01 01,İSTANBUL,UTIKAD
Akıner Gümrük Müşavirliği ve Lojistik A.Ş.,akıner.com.tr,info@akiner.com.tr,0216 266 0 177,İSTANBUL,UTIKAD
Aktifsped Ulus. Nakliyat ve Tic. Ltd. Şti.,aktifsped.com.tr,info@aktifsped.com,0262 724 95 80,KOCAELİ,UTIKAD
Akyapı Lojistik Ltd. Şti.,akyapilojistik.com,info@akyapilojistik.com,0352 311 35 35,KAYSERİ,UTIKAD
Albatrans Lojistik A.Ş.,albatrans.com.tr,info@albatrans.com.tr,0212 465 55 99,İSTANBUL,UTIKAD
Alden Global Loj. Hiz. İç ve Dış Tic. Ltd. Şti.,aldenlojistik.com,aldenlojistikmerkez@aldenlojistik.com,0312 285 06 20,ANKARA,UTIKAD
Alfa Kara Hava ve Deniz Taşımacılığı A.Ş.,alfafreight.com,info@alfafreight.com,0216 372 42 42,İSTANBUL,UTIKAD
AlfaLog Uluslararası Taş. Ltd. Şti.,alfalogs.com,info@alfalogs.com,0549 685 75 01,İSTANBUL,UTIKAD
Alışan Lojistik A.Ş.,alisangroup.com,info@alisangroup.com,0216 469 15 15,İSTANBUL,UTIKAD
Almanara Dış Tic. Ltd. Şti.,almanaraa.com,manhal@almanaraa.com,0212 234 79 79,İSTANBUL,UTIKAD
Almark Group Lojistik A.Ş.,almark.com.tr,info@almark.com.tr,0850 888 97 99,İSTANBUL,UTIKAD
Alpagu Lojistik ve Dış Ticaret Ltd. Şti.,alpagulogistic.com,info@alpagulogistic.com,0232 608 64 66,İZMİR,UTIKAD
ALS Ulus. Nakliyat San. ve Dış Tic. Ltd. Şti.,alslogistic.net,air@alsnakliyat.com.tr,0212 465 20 61,İSTANBUL,UTIKAD
Altun Lojistik A.Ş.,altunlojistik.com.tr,altun@altunlojistik.com.tr,0216 340 68 00,İSTANBUL,UTIKAD
Alyans Gemi Kiralama ve Denizcilik A.Ş.,alyans.com,operation@alyans.com,0212 259 00 77,İSTANBUL,UTIKAD
Anatolia Express Lojistik Hiz. Tic. Ltd. Şti.,anatolialogistics.com,info@anatoliaexpress.com - mehmetunlu@anatoliaexpress.com,0530 237 8824 - 0539 599 65 00,HATAY,UTIKAD
Anchor Gemi Acenteliği Sanayi Tic. Ltd. Şti.,agencyanchor.com,,,HATAY,UTIKAD
Ande Lojistik Hizmetleri İç ve Dış Tic. Ltd. Şti.,andelog.com,fatih.aksayli@andelog.com,0216 510 11 64,İSTANBUL,UTIKAD
Ankor Uluslararası Taşımacılık Konteyner Hizmetleri ve Dış Tic. Ltd. Şti.,anchorlogistics.com.tr,reyhan@anchorlogistics.com.tr,0216 550 16 80,İSTANBUL,UTIKAD
Ans Kargo Lojistik Taş. ve Tic. Ltd. Şti.,anscargo.com,info@anscargo.com,0232 464 43 42,İZMİR,UTIKAD
Ant Lojistik Ltd. Şti.,antlojistik.com.tr,ceren.eker@antlojistik.com.tr - can.eker@antlojistik.com.tr,0216 580 93 03,İSTANBUL,UTIKAD
APC Uluslararası Taş. ve Loj. Ltd. Şti.,apcfreight.com,info@apcfreight.com,0212 909 40 48,İSTANBUL,UTIKAD
Apron Global Lojistik Dış Tic. Ltd. Şti.,apronglobal.com.tr,muhasebe@apronglobal.com.tr,0216 688 10 11,İSTANBUL,UTIKAD
Aramex Internatıonal Hava Kargo ve Kurye A.Ş.,aramex.com,tolgahan.bulut@aramex.com,0212 999 12 22,İSTANBUL,UTIKAD
Arclog Uluslararası Nakliyat Gümrükleme Depolama Dış Ticaret ve Loj. Hiz. Ltd. Şti.,arclog.com.tr,info@arclog.com.tr,0224 242 66 00,BURSA,UTIKAD
Ard Arda Loj. Teks. Kuy. Turz. Hayvancılık Sanayi Ve Ticaret Ltd. Şti.,ardalojistik.com,ardpk@edmbilisim.com,0216 365 08 10,İSTANBUL,UTIKAD
Arda Lashing Uluslararası Gözetim Liman Hizmetleri Gemi Acentalığı Ticaret Ltd. Şti.,ardalashing.com,info@ardalashing.com,0224 519 03 49,BURSA,UTIKAD
Aren Gümrük Müş. Loj. San. ve Tic. Ltd. Şti.,arengumrukleme.com.tr,info@arengumrukleme.com.tr,0324 239 35 32,MERSİN,UTIKAD
Ares Uluslararası Nakliyat ve Dış Tic. Ltd. Şti.,areslogistics.com.tr,ares@areslogistics.com.tr,0212 444 10 96,İSTANBUL,UTIKAD
Arkas Demiryolu Taşımacılık A.Ş.,arkasrail.com.tr,info@arkasrail.com.tr,0216 560 00 60,İZMİR,UTIKAD
Arkas Denizcilik ve Nakliyat A.Ş.,arkasdenizcilik.com.tr,arkasist@arkas.com.tr,0212 318 00 00,İSTANBUL,UTIKAD
Arkas Lojistik A.Ş.,arkaslojistik.com.tr,arkaslojistik@arkaslojistik.com.tr,0212 560 00 60,İSTANBUL,UTIKAD
Armada Denizcilik Lojistik Hiz. ve Tic. Ltd. Şti.,armadalogistics.com,cihanozkal@armadalogistics.com,0216 326 90 60,İSTANBUL,UTIKAD
Armony Global Lojistik İş Birliği Hizmetleri ve Dış Ticaret Ltd. Şti.,armony-global.com,emir.bozlu@armony-global.com,0324 337 18 65,MERSİN,UTIKAD
Artlog Lojistik ve Dış Ticaret A.Ş.,artlog.com.tr,ilker.sokmen@artlog.com.tr,0216 384 10 65,İSTANBUL,UTIKAD
Arvato Lojistik A.Ş.,arvato.com,,0216 665 65 58,İSTANBUL,UTIKAD
ASAV Lojistik Hizmetleri A.Ş.,asavtrans.com,info@asavtrans.com,0212 652 52 81,İSTANBUL,UTIKAD
Ase Asya Afrika Hızlı Lojistik Sistemleri A.Ş.,ase.com.tr,info@ase.com.tr,444 00 26,İSTANBUL,UTIKAD
