ad,domain,durum,bulunan_kisi,bulunan_mail
2H Gümrük ve Lojistik Hizmetleri Tic. Ltd. Şti.,2hgumrukleme.com.tr,BULUNAMADI,0,0
3 E Nakliye ve Lojistik A.Ş.,3edisticaret.com,BULUNAMADI,0,0
3K Lojistik Hizmetleri Tic. Ltd. Şti.,3klogistics.com,BULUNAMADI,0,0
9 Ekim Gümrük Müşavirliği Lojistik Dan.Yayıncılık Turizm ve Dış Ticaret Ltd. Şti.,9ekim.com,BULUNAMADI,0,0
A. Hartrodt Turkey Lojistik Ltd. Şti.,hartrodt.com,BULUNDU,0,1
A. Rıza Kınay Vapur Acenteliği ve Tic. A.Ş.,kinay.com,BULUNDU,95,35
AB Gümrük Müşavirliği ve Danışmanlık A.Ş.,abgumruk.com.tr,BULUNAMADI,0,0
Access World Turkey Lojistik Depolama A.Ş.,accessworld.com,ERİŞİLEMEDİ,0,0
ACTO Ulus. Taş. Gıda San. ve Dış Tic. Ltd. Şti.,actogroup.com,BULUNDU,20,0
Ada Global Lojistik Sanayi ve Ticaret Ltd. Şti.,adagloballogistics.com.tr,BULUNDU,0,1
Afro Türk Logistics Nak. Tur ve Dış Tic. Ltd. Şti.,afroturklogistics.com,BULUNAMADI,0,0
Agemar Global Loj. Deniz. Turz. Paz. ve Tic. A.Ş.,agl-agemar.com,BULUNDU,1,6
Agi Lojistik A.Ş.,agi-logistics.com,BULUNDU,0,5
Agila Lojistik A.Ş.,agilalogistics.com,BULUNDU,62,0
AIT Worldwide Logistics Transport Ltd. Şti.,aitworldwide.com,BULUNDU,1,0
Airon Taşımacılık ve Lojistik A.Ş.,airon.com.tr,BULUNAMADI,0,0
Akca Lojistik Hizmetleri ve Ticaret A.Ş.,akcalojistik.com,BULUNDU,0,2
Akça Nak. İnş. Tekstil Petrol Paz. Gıda San. ve Ltd. Şti.,akcanakliyat.com,BULUNAMADI,0,0
Akdoğu Nakliyat İnşaat San. ve Tic. Ltd. Şti.,akdogulojistik.com,ERİŞİLEMEDİ,0,0
Aker Lojistik Ulus. Nak. San. Dış Tic. Ltd. Şti.,akergumruk.com,BULUNAMADI,0,0
Akıner Gümrük Müşavirliği ve Lojistik A.Ş.,akıner.com.tr,ERİŞİLEMEDİ,0,0
Aktifsped Ulus. Nakliyat ve Tic. Ltd. Şti.,aktifsped.com.tr,ERİŞİLEMEDİ,0,0
Akyapı Lojistik Ltd. Şti.,akyapilojistik.com,BULUNAMADI,0,0
Albatrans Lojistik A.Ş.,albatrans.com.tr,BULUNAMADI,0,0
Alden Global Loj. Hiz. İç ve Dış Tic. Ltd. Şti.,aldenlojistik.com,BULUNAMADI,0,0
Alfa Kara Hava ve Deniz Taşımacılığı A.Ş.,alfafreight.com,BULUNDU,2,2
AlfaLog Uluslararası Taş. Ltd. Şti.,alfalogs.com,BULUNAMADI,0,0
Alışan Lojistik A.Ş.,alisangroup.com,ERİŞİLEMEDİ,0,0
Almanara Dış Tic. Ltd. Şti.,almanaraa.com,BULUNAMADI,0,0
Almark Group Lojistik A.Ş.,almark.com.tr,BULUNAMADI,0,0
Alpagu Lojistik ve Dış Ticaret Ltd. Şti.,alpagulogistic.com,BULUNAMADI,0,0
ALS Ulus. Nakliyat San. ve Dış Tic. Ltd. Şti.,alslogistic.net,ERİŞİLEMEDİ,0,0
Altun Lojistik A.Ş.,altunlojistik.com.tr,BULUNAMADI,0,0
Alyans Gemi Kiralama ve Denizcilik A.Ş.,alyans.com,ERİŞİLEMEDİ,0,0
Anatolia Express Lojistik Hiz. Tic. Ltd. Şti.,anatolialogistics.com,BULUNAMADI,0,0
Anchor Gemi Acenteliği Sanayi Tic. Ltd. Şti.,agencyanchor.com,BULUNDU,7,0
Ande Lojistik Hizmetleri İç ve Dış Tic. Ltd. Şti.,andelog.com,BULUNAMADI,0,0
Ankor Uluslararası Taşımacılık Konteyner Hizmetleri ve Dış Tic. Ltd. Şti.,anchorlogistics.com.tr,BULUNAMADI,0,0
Ans Kargo Lojistik Taş. ve Tic. Ltd. Şti.,anscargo.com,BULUNAMADI,0,0
Ant Lojistik Ltd. Şti.,antlojistik.com.tr,BULUNDU,20,0
APC Uluslararası Taş. ve Loj. Ltd. Şti.,apcfreight.com,BULUNAMADI,0,0
Apron Global Lojistik Dış Tic. Ltd. Şti.,apronglobal.com.tr,BULUNDU,0,1
